Date,Original Headline,Generated Headline,Keywords,Generated Summary
20160104,"Gold opens 2016 strongly amid Saudi-Iran tension, weak China data",Gold Rises as Middle East Tensions and Weak China Data Spur Safe-Haven Demand,"gold, Saudi Arabia, Iran, China manufacturing, US dollar","Gold prices climbed 1.44% to $1,075.60 an ounce as investors sought safety amid escalating Saudi-Iran tensions and disappointing Chinese manufacturing data, while a stronger US dollar and Fed policy continued to influence the market. Silver edged higher and copper fell sharply in related commodity trading."
20160104,Gold spikes 1% as Saudi Arabia-Iran tensions flare up,Gold Prices Surge as Middle East Tensions Rise and Weak Chinese Data Hits Copper,"gold, Middle East, Fed rate hike, copper, China","Gold prices rose sharply amid escalating Saudi-Iran tensions and safe-haven demand, while copper fell on weak Chinese manufacturing data, highlighting ongoing concerns over global economic stability and future U.S. interest rate hikes."
20160104,Iran says boosting oil exports depends on future demand,"Iran Plans Cautious Oil Export Increase After Sanctions, Aiming to Avoid Further Price Drops","Iran, oil exports, sanctions, global demand, oil prices","Iranian officials say any increase in oil exports after sanctions are lifted will depend on global demand and aim to avoid further weakening oil prices, with plans to gradually reclaim market share and explore new export strategies. The country is considering selling to Asia and Europe and possibly investing in foreign refineries to secure sales."
20160104,Natural gas futures under pressure as weather forecasts turn milder,US Natural Gas Prices Dip as Mild Weather Forecasts Ease Demand,"natural gas, prices, weather, storage, NYMEX","US natural gas prices fell after the New Year weekend as forecasts predicted mild weather on the East Coast, reducing heating demand and keeping storage levels well above average."
20160104,NYMEX crude gains in Asia with Middle East tensions eyed,Crude Oil Prices Rise Amid Escalating Saudi-Iran Tensions and Market Volatility,"oil prices, Middle East, Saudi Arabia, Iran, sanctions","Crude oil prices climbed in Asia as diplomatic tensions between Saudi Arabia and Iran intensified, with several nations severing ties with Tehran and volatility persisting in global markets; meanwhile, Iran plans to boost oil exports once sanctions are lifted, potentially adding further pressure to prices."
20160104,Oil adds to sharp gains after bullish Genscape data,Oil Prices Surge as Cushing Supplies Drop and Middle East Tensions Rise,"oil prices, Cushing supplies, Middle East tensions, Brent crude, oversupply","Oil prices rose sharply after a report showed falling supplies at Cushing, Oklahoma, and as geopolitical tensions escalated between Saudi Arabia and Iran, despite ongoing concerns about global oversupply. Brent and U.S. crude futures both hit multi-week highs amid the developments."
20160104,Oil off early highs as China factory data weighs,Oil Prices Slip as Asian Economic Woes Offset Middle East Tensions,"oil prices, Saudi Arabia, Iran, China economy, manufacturing",Oil prices fell after weak economic data from China and India outweighed concerns over supply disruptions following a diplomatic rift between Saudi Arabia and Iran.
20160104,Oil prices trim gains after jumping 3% on Saudi-Iran tensions,Oil Prices Ease After Early Surge Amid Saudi-Iran Tensions and Ongoing Oversupply,"oil prices, Saudi Arabia, Iran, oversupply, Brent","Oil prices rose over 3% before trimming gains as Saudi Arabia cut diplomatic ties with Iran, while ongoing global oversupply and the potential return of Iranian oil continue to pressure the market. Brent and WTI crude both saw modest increases but remain near multi-year lows."
20160104,"U.S. crude futures close lower in volatile session, amid Saudi-Iran row",Oil Prices Slip After Volatile Trading Amid Escalating Saudi-Iran Tensions,"crude oil, Saudi Arabia, Iran, volatility, sanctions","U.S. crude futures closed slightly lower after a volatile session driven by rising tensions between Saudi Arabia and Iran, with several nations severing ties with Tehran and concerns over Iran's plans to boost oil exports following sanctions relief. The ongoing conflict and market uncertainty kept oil prices and volatility elevated, while a stronger U.S. dollar added further pressure."
20160104,U.S. oil 'strippers' maneuver to keep pumping amid crude slump,"Smallest US Oil Producers Defy Price Slump, Delaying Output Cuts","stripper wells, oil prices, small producers, production cuts, US oil market","Despite oil prices falling below $40 a barrel, small US ""stripper well"" operators are proving resilient by cutting costs and keeping wells running, reducing the likelihood of immediate production cuts needed to balance the market. Many are using creative strategies to maintain leases and survive the downturn, with some able to operate profitably even at very low prices."
20160105,Copper recovers from Monday's selloff as China moves to calm markets,Copper Prices Rebound as China Injects $20 Billion to Stabilize Markets,"copper, China, cash injection, stock market, gold","Copper prices rose after China's central bank injected nearly $20 billion into its banking system to stabilize markets following a sharp stock selloff, while gold held near a four-week high amid Middle East tensions and global growth concerns."
20160105,"Crude falls sharply, as oversupply concerns outweigh geopolitical risks",Oil Prices Drop Sharply as Oversupply Concerns Outweigh Middle East Tensions,"crude oil, oversupply, Middle East, inventories, OPEC","Crude oil futures fell over 2% as oversupply concerns and high inventories outweighed escalating geopolitical tensions in the Middle East, despite recent volatility and a brief price spike. Both WTI and Brent benchmarks remain down more than 30% over the past year amid record output and OPEC's decision to maintain production levels."
20160105,Gold holds near 4-week high amid safe-haven demand,Gold Holds Near Four-Week High as Middle East Tensions and Global Growth Fears Drive Safe-Haven Demand,"gold, Middle East, global growth, China, copper","Gold prices remained near a four-week high as investors sought safety amid Middle East tensions and renewed global growth concerns, while copper rebounded after China's central bank injected $20 billion to stabilize markets. Silver also saw modest gains as metals trading responded to geopolitical and economic developments."
20160105,"Gold prices dip in Asia with China economy, Middle East tension eyed",Gold Prices Edge Lower as Investors Weigh China Stimulus and Middle East Tensions,"gold, China, Middle East, Federal Reserve, commodities","Gold prices dipped slightly in Asia as investors monitored China's economic stimulus efforts and ongoing Middle East tensions, while awaiting signals from the Federal Reserve on future interest rate hikes. Silver and copper prices also eased amid concerns over global economic growth and geopolitical instability."
20160105,Gold prices inch higher amid global growth concerns,Gold Prices Edge Higher as Global Growth Concerns Drive Safe-Haven Demand,"gold, safe-haven, global growth, China, commodities","Gold prices rose to a four-week high as concerns over global growth and geopolitical tensions in the Middle East increased demand for safe-haven assets, while China's central bank injected $20 billion to stabilize markets after a sharp stock selloff."
20160105,Gold ticks up as widespread geopolitical concerns remain in focus,Gold Rises for Third Straight Session Amid Geopolitical Tensions and Economic Concerns,"gold, China, Middle East, Federal Reserve, safe-haven","Gold prices climbed for a third consecutive session despite a stronger dollar, driven by Middle East tensions and concerns over global economic growth, while China's central bank injected significant liquidity to support its slowing economy. Investors are also watching for upcoming Federal Reserve minutes for clues on future interest rate hikes."
20160105,More guards killed in Islamic State attacks on Libya's oil ports,"Islamic State Attacks Near Libyan Oil Ports Set Storage Tanks Ablaze, Kill Security Guards","Islamic State, Libya, oil ports, Es Sider, Ras Lanuf","Islamic State militants attacked checkpoints near Libya's Es Sider oil port for a second day, killing guards and setting storage tanks on fire, as the country's oil production remains crippled by ongoing conflict and instability."
20160105,Natural gas futures slide 3% despite cold weather forecasts,US Natural Gas Prices Drop Despite Colder East Coast Forecasts,"natural gas, prices, storage, El Niño, heating demand","US natural gas prices fell nearly 3% despite forecasts for colder weather on the East Coast, as high storage levels and a mild start to winter limited demand; the upcoming EIA report is expected to show the largest storage withdrawal since March 2015."
20160105,NYMEX crude up in Asia as API estimates show sharp drop in stockpiles,Crude Oil Prices Edge Higher as U.S. Stockpiles Drop Amid Geopolitical Tensions,"crude oil, stockpiles, OPEC, Middle East, Brent","Crude oil prices rose slightly after U.S. industry data showed a sharp drop in stockpiles, while ongoing oversupply concerns and escalating Middle East tensions continued to weigh on the market. Both WTI and Brent benchmarks remain near multi-year lows following OPEC's decision to maintain high output."
20160105,"Oil prices fall as weak China data, oversupply drag on markets",Oil Prices Slip as Weak Chinese Data and High Output Weigh on Market,"crude oil, China slowdown, oversupply, Brent, WTI","Oil prices fell after weak Chinese rail freight data raised concerns about demand, while persistent high production and Middle East tensions continued to pressure the market. Analysts expect Brent and WTI to average around $50 in 2016 amid ongoing oversupply and near-record U.S. inventories."
20160105,"Oil slides as China, oversupply woes drag on markets",Oil Prices Fall as Weak Chinese Data and High Output Weigh on Market,"oil prices, China slowdown, crude surplus, production levels, Brent futures","Crude oil prices fell after weak Chinese rail freight data raised concerns about demand, while high global production continued to pressure the market, resulting in a significant price drop since mid-2014."
20160105,Oil slips as oversupply concerns outweigh Middle East tensions,Oil Prices Slip Again as Supply Glut Overshadows Middle East Tensions,"oil prices, supply glut, Brent crude, Saudi Arabia, Iran","Oil prices fell for a second day as concerns over a global supply glut outweighed geopolitical tensions between Saudi Arabia and Iran, with investors awaiting new U.S. inventory data for further direction. Brent and U.S. crude futures both dipped despite recent volatility and brief price spikes."
20160106,Brent oil prices fall to fresh 11-year lows in risk-off trade,Brent Oil Prices Hit Lowest Level Since 2004 Amid Global Supply Glut Concerns,"Brent crude, oil prices, supply glut, global economy, OPEC","Brent oil prices fell to their lowest since July 2004 as concerns over a persistent global supply glut and weak economic outlook outweighed geopolitical tensions, with analysts expecting oversupply to worsen as Iran prepares to boost production. Both Brent and U.S. crude benchmarks are down nearly 4% this week despite a surprise drop in U.S. oil inventories."
20160106,Copper slips as bearish China data weighs,"Copper Prices Dip as China’s Services Growth Slows, Gold Rises Amid Global Tensions","copper, China, services sector, gold, global economy","Copper prices fell after weak Chinese services data signaled a slowing economy, while gold climbed to a one-month high as investors sought safety amid Middle East tensions and North Korea’s nuclear test."
20160106,Crude oil slides by five percent as gasoline spike paints bleak outlook,Oil Prices Plunge Over 5% as Gasoline Glut Deepens Market Woes,"crude oil, gasoline stocks, price drop, market oversupply, Brent futures","Crude oil prices fell more than 5% to their lowest levels since 2004 after a sharp rise in U.S. gasoline inventories overshadowed a drop in crude stocks, fueling concerns about persistent oversupply and weak demand. Traders are now betting prices could fall below $30 a barrel amid ongoing market volatility and global economic uncertainty."
20160106,Geopolitical tensions boost gold futures to 1-month high,Gold Hits One-Month High as Geopolitical Tensions and Global Growth Fears Drive Safe-Haven Demand,"gold, North Korea, Iran-Saudi tensions, global growth, copper","Gold prices surged to a one-month high as investors sought safety amid North Korea's nuclear test and rising tensions between Iran and Saudi Arabia, while weak Chinese economic data pressured copper prices."
20160106,Gold prices dip in Asia as Fed minutes come in along expected lines,Gold Slips as Fed Signals Gradual Rate Hikes; Markets React to North Korea Nuclear Test,"Gold, Federal Reserve, North Korea, Interest Rates, Safe-Haven","Gold prices dipped slightly after the Federal Reserve confirmed unanimous support for a rate hike, while North Korea's nuclear test spurred safe-haven demand and global condemnation. The Fed signaled future rate increases would be gradual, and the U.S. dollar edged higher."
20160106,"Gold prices hold gains after ADP jobs report, U.S. trade data",Gold Prices Rise Amid Geopolitical Tensions and Strong U.S. Economic Data,"gold, U.S. jobs, North Korea, Middle East, copper","Gold prices climbed as investors sought safety following North Korea's nuclear test and rising Middle East tensions, while strong U.S. employment and trade data supported the case for higher interest rates. Copper prices fell after weak Chinese services data fueled concerns about global growth."
20160106,"Gold surges 1%, as North Korea rattles markets with nuclear test",Gold Jumps to Two-Month Highs as North Korea Claims Hydrogen Bomb Test,"gold, North Korea, hydrogen bomb, safe-haven, Federal Reserve","Gold prices surged over 1% to near two-month highs after North Korea claimed a successful hydrogen bomb test, prompting investors to seek safe-haven assets amid heightened geopolitical tensions. The test, widely met with skepticism and condemnation, triggered global market volatility and renewed focus on U.S. interest rate policy."
20160106,Natural gas futures push higher ahead of weekly storage report,US Natural Gas Prices Rebound Ahead of Key Inventory Report,"natural gas, prices, storage, demand, weather","US natural gas prices rose for the first time in three sessions as traders anticipated a significant storage withdrawal due to colder weather, with inventories still well above average levels for this time of year."
20160106,NYMEX crude makes small gains in Asia on geopolitical tensions,"Oil Prices Edge Higher Amid Geopolitical Tensions, Oversupply Remains Key Concern","crude oil, oversupply, Saudi-Iran tensions, US inventories, global demand","Crude oil prices saw modest gains in Asia due to geopolitical tensions, but oversupply and weak demand continue to dominate the market, with both WTI and Brent crude near multi-year lows and inventories remaining high. The ongoing Saudi-Iran conflict, record production, and slowing Asian economies are adding to market volatility."
20160106,Oil prices fall to 11 year trough,Oil Prices Plunge to 11-Year Low as Saudi-Iran Tensions Dash Hopes for Production Cuts,"oil prices, Saudi Arabia, Iran, OPEC, oversupply","Oil prices dropped to their lowest levels since 2004 after tensions between Saudi Arabia and Iran ended hopes for OPEC production cuts, with global oversupply continuing to depress the market."
20160106,TransCanada sues U.S. over Keystone XL pipeline rejection,"TransCanada Sues U.S. Over Keystone XL Rejection, Seeks $15 Billion in NAFTA Damages","Keystone XL, TransCanada, NAFTA, Obama, lawsuit","TransCanada has filed a lawsuit against the U.S. government to overturn President Obama's rejection of the Keystone XL pipeline and is seeking $15 billion in damages under NAFTA, arguing the decision was arbitrary and unjustified; the legal process is expected to be lengthy and costly."
20160106,U.S. crude plunges 5% to 7-year low amid escalating Middle East conflict,Crude Oil Prices Plunge to Multi-Year Lows Amid Saudi-Iran Tensions and Oversupply Fears,"crude oil, Saudi Arabia, Iran, oversupply, prices","Crude oil prices fell to their lowest levels in years as escalating tensions between Saudi Arabia and Iran signaled little chance of production cuts, while global oversupply and weak demand continued to pressure the market. U.S. and Brent crude futures both posted significant losses, with inventories and production remaining high despite a large draw in U.S. stockpiles."
20160106,WTI oil futures add to losses after bearish U.S. supply data,Oil Prices Slide to Multi-Year Lows as U.S. Gasoline Inventories Surge,"oil prices, gasoline inventories, crude supply, global glut, OPEC","West Texas Intermediate and Brent crude prices fell sharply after U.S. gasoline inventories posted a significant increase, intensifying concerns about weak demand and global oversupply. Analysts expect the oil glut to worsen as production remains high and Iran prepares to boost exports."
20160107,Copper collapses to lowest since 2009 amid China turmoil,Copper Prices Plunge to Six-Year Low Amid China Market Turmoil,"copper, China, stock market, yuan, global economy","Copper prices fell to their lowest level since 2009 as concerns over China's economic outlook and stock market volatility rattled global markets, while gold surged on safe-haven demand. The yuan's sharp depreciation and fears of reduced Chinese demand contributed to the selloff in industrial metals."
20160107,Copper tumbles to 6-week lows amid China-led global turmoil,Copper Prices Hit Six-Week Low as Chinese Market Turmoil and Yuan Drop Weigh on Demand,"copper, China, yuan, stock market, commodities","Copper prices fell to their lowest level since November as sharp declines in Chinese stock markets and a weaker yuan fueled concerns over reduced demand, while gold surged on safe-haven buying amid global market volatility."
20160107,Crude falls to 12-year low as China sell-off exacerbates demand fears,Oil Prices Plunge to 12-Year Lows Amid China Sell-Off and Supply Glut,"crude oil, China, OPEC, Brent, inventories","Crude oil prices fell to their lowest levels since 2004 as a sharp sell-off in China and persistent oversupply fueled concerns about weakening global demand, with both Brent and WTI futures dropping sharply despite a draw in U.S. inventories. Ongoing geopolitical tensions and unchanged OPEC output quotas continue to pressure the market."
20160107,Gold jumps to 9-week high amid global stock market meltdown,Gold Hits Nine-Week High as China-Led Stock Market Turmoil Spurs Safe-Haven Demand,"gold, China, stock market, safe-haven, copper","Gold prices surged to a nine-week high as global stock markets plunged, driven by a sharp selloff in China and heightened geopolitical tensions, while copper prices fell on concerns over weakening Chinese demand. Investors turned to gold for safety amid uncertainty about U.S. rate hikes and the global economic outlook."
20160107,Gold prices down in Asia with Shanghai shares up at the break,"Gold Slips as China Markets Rebound, Yuan Strengthens After PBOC Intervention","gold, China stocks, yuan, PBOC, volatility","Gold prices dipped in Asia as Chinese stock markets rebounded from early losses and the yuan strengthened following central bank intervention, while global markets remained volatile amid concerns over China's economy and U.S. monetary policy. Other commodities like copper and silver also eased, and investors continued to monitor central bank actions in China, Japan, and the U.S."
20160107,"Gold surges to 9-week high, as investors seek safety from China sell-off",Gold Hits Nine-Week High as China Yuan Move Triggers Market Turmoil,"gold, yuan, China, equities, safe-haven","Gold prices surged to a nine-week high after China's central bank unexpectedly devalued the yuan, sparking a sharp sell-off in equities and boosting demand for safe-haven assets. The move also impacted other commodities and highlighted ongoing concerns about China's economic slowdown and global market volatility."
20160107,Natural gas futures soar more than 4% after bullish U.S. storage data,US Natural Gas Futures Surge as Storage Draw Exceeds Expectations,"natural gas, storage, futures, demand, weather","US natural gas futures jumped 4.61% after government data showed a larger-than-expected storage draw due to increased demand from cold weather, though overall storage remains well above last year's levels and the five-year average."
20160107,NYMEX crude gains in Asia in rebound from prolonged slide,Crude Oil Prices Rebound in Asia as Shanghai Shares Recover and Yuan Strengthens,"crude oil, Shanghai stocks, yuan, OPEC, Iran-Saudi tensions","Crude oil prices rose in Asia following a recovery in Shanghai shares and a stronger yuan, despite ongoing global oversupply and geopolitical tensions between Iran and Saudi Arabia. Brent and WTI crude remain near multi-year lows after recent market volatility and OPEC's decision to maintain output levels."
20160107,Oil down again to 12-year low; $30 handle looks more likely,Oil Prices Plunge to 12-Year Lows Amid China Market Turmoil and Global Supply Glut,"oil prices, China, supply glut, Brent crude, market volatility","Oil prices dropped to their lowest levels since 2004, nearing $32 a barrel, as financial turmoil in China and a global supply glut fueled a four-day losing streak and heightened fears of further declines. Despite a brief rebound from profit-taking, traders remain concerned about oversupply and weak demand, especially from China."
20160107,Oil extends rout; WTI prices plunge to lowest since 2003,Oil Prices Plunge to 12-Year Lows Amid China Fears and Global Supply Glut,"oil prices, China economy, supply glut, crude inventories, market selloff","Oil prices fell to their lowest levels in over a decade as concerns over China's economic outlook and a persistent global supply glut weighed on markets, with both U.S. and Brent crude dropping sharply. Rising inventories and risk aversion following China's stock market turmoil further pressured prices."
20160107,Oil prices plunge to more than 10-year lows on market turmoil,Oil Prices Plunge to 12-Year Lows Amid China Market Turmoil and Global Oversupply,"oil prices, China, yuan devaluation, oversupply, global markets","Oil prices fell to their lowest levels in over a decade as turmoil in China’s stock market and a sharp yuan devaluation rattled investors, while global oversupply concerns intensified with rising production and the prospect of Iran re-entering the market. Both U.S. and Brent crude futures dropped sharply, reflecting fears of weakening demand and a worsening supply glut."
20160107,Safe haven demand buoys gold futures to 9-week high,Gold Surges to Nine-Week High as China-Led Stock Market Turmoil Spurs Safe-Haven Demand,"gold, China, stock market, yuan, copper","Gold prices soared to their highest level in nine weeks as global stock markets plunged, led by sharp declines and trading halts in China, prompting investors to seek safety amid concerns over the yuan and global economic stability. Copper prices fell to six-week lows on fears of reduced Chinese demand."
20160107,TransCanada legal challenges over Keystone pipeline face long odds,TransCanada Faces Uphill Legal Battle After Obama Rejects Keystone XL Pipeline,"Keystone XL, TransCanada, NAFTA, Obama, lawsuit","TransCanada is challenging President Obama's rejection of the Keystone XL pipeline in both U.S. federal court and under NAFTA, seeking $15 billion in damages, but faces slim chances of success according to legal experts. The company argues it was unfairly treated compared to other pipeline projects, while the U.S. maintains its decision was lawful and consistent with international obligations."
20160107,White House says confident acted lawfully in Keystone pipeline rejection,White House Stands by Keystone XL Rejection Amid $15 Billion TransCanada Lawsuit,"Keystone XL, TransCanada, NAFTA, Obama administration, lawsuit","The White House expressed confidence in the legality of President Obama's rejection of the Keystone XL pipeline after TransCanada filed a $15 billion NAFTA lawsuit, emphasizing the decision aligned with U.S. treaty obligations."
20160108,"Crude falls slightly, ending tumultuous week near 12-year lows",Oil Prices End Volatile Week at 12-Year Lows Amid Global Market Turmoil,"crude oil, China, OPEC, rig count, market volatility","Crude oil prices closed at their lowest levels since 2004 after a week of sharp declines driven by concerns over China’s economy, Middle East tensions, and persistent oversupply, with both WTI and Brent benchmarks falling over 10%. U.S. oil rig counts continued to drop, but production remained resilient, while the U.S. dollar strengthened against major currencies."
20160108,"Gold retreats from 9-week high amid strong U.S. jobs gains, China rally",Gold Retreats from Nine-Week Highs as Strong Dollar and Mixed U.S. Jobs Data Weigh,"gold, Federal Reserve, U.S. jobs, China markets, dollar","Gold prices fell from recent highs as a stronger dollar and mixed U.S. jobs data created uncertainty over future Fed rate hikes, while China stabilized its stock market after a volatile week. Despite the decline, gold remains up nearly 5% from early December lows."
20160108,Gold slides lower as U.S. dollar recovers,Gold Prices Retreat from Two-Month High as Dollar Strengthens and China Adjusts Yuan Guidance,"gold prices, US dollar, yuan, China, employment data","Gold prices fell from recent highs as the US dollar strengthened following China's move to set a higher yuan guidance rate, while investors awaited key US employment data for further economic signals. Silver also declined, but copper prices edged higher in metals trading."
20160108,"Oil prices dip, erasing earlier gains; down 10 percent on week","Oil Prices Fall for Fifth Straight Day, Set for 10% Weekly Drop Amid Oversupply and Weak Demand","crude oil, oversupply, demand, Brent, WTI","Crude oil prices fell for a fifth consecutive day, heading for a 10% weekly loss due to global oversupply and weak demand, with analysts and investors uncertain about when the market will recover. Major banks and economists have lowered their price forecasts, while options markets signal fears of further declines."
20160108,Oil remains near 12-year lows as glut concerns persist,Oil Prices Hover Near 12-Year Lows as Global Supply Glut Persists,"oil prices, supply glut, U.S. crude, OPEC, Iran","U.S. oil futures remained near 12-year lows despite some market stabilization in China, as concerns over a global supply glut and weak demand continued to pressure prices, with analysts expecting the oversupply to worsen as Iran re-enters the market."
20160110,Crude oil futures - weekly outlook: January 11 - 15,Oil Prices Near 12-Year Lows Amid China Concerns and Global Supply Glut,"oil prices, China economy, supply glut, Brent crude, U.S. dollar","Oil prices closed near their lowest levels in over a decade as concerns over China's economy and a persistent global supply glut weighed on markets, with Brent and U.S. crude both falling over 10% for the week. Analysts expect the oversupply to worsen as Iran prepares to boost production and the U.S. dollar strengthens."
20160110,Gold / Silver / Copper futures - weekly outlook: January 11 - 15,Gold Falls from Nine-Week High as Strong U.S. Jobs Data Boosts Dollar and Rate Hike Expectations,"gold, U.S. jobs, Federal Reserve, China economy, copper","Gold prices dropped after strong U.S. job growth strengthened the dollar and raised expectations of faster Fed rate hikes, while copper prices slumped amid concerns over China's economy and currency depreciation. Investors are watching upcoming economic data from China, the U.S., and central bank meetings for further market direction."
20160110,"Gold prices gain in Asia on economic, political turmoil, copper down",Gold Rises in Asia Amid China Economic Concerns and Middle East Tensions,"gold, China, copper, U.S. jobs, Middle East","Gold prices climbed in Asian trading due to ongoing economic uncertainty in China and heightened Middle East tensions, while investors await key economic data from China, the U.S., and the UK later in the week. Copper prices fell on concerns over China's slowing growth and currency depreciation."
20160110,Natural gas futures - weekly outlook: January 11 - 15,Natural Gas Prices Surge to 11-Week High on Cold Weather Forecasts and Strong Demand,"natural gas, prices, storage, weather, demand","Natural gas prices climbed to an 11-week high as cold weather forecasts and higher-than-expected inventory drawdowns boosted demand, with futures rising for a third consecutive week. U.S. storage remains above average despite recent withdrawals, while crude oil and heating oil prices declined."
20160110,NYMEX crude falls more than 2% in Asia as oversupply worries grow,Oil Prices Slide Further Amid Global Supply Glut and China Economic Concerns,"crude oil, oversupply, China trade, U.S. dollar, production","Crude oil prices continued to fall, reaching multi-year lows due to persistent global oversupply and concerns over China's economic outlook, with upcoming trade data from China and U.S. economic reports in focus this week. Despite a declining U.S. rig count, production remains high, and the anticipated return of Iranian oil is expected to worsen the glut."
20160110,NYMEX crude weaker in early Asia with focus on China this week,Oil Prices Slide Amid Global Supply Glut and China Economic Concerns,"crude oil, oversupply, China trade, U.S. production, Brent","Crude oil prices fell to multi-year lows as global oversupply persists and concerns over China's economic outlook weigh on markets, with investors watching upcoming trade data from China and economic reports from the U.S. and U.K. Despite a drop in U.S. rig counts, production remains high, and the expected return of Iranian oil is likely to worsen the glut."
20160111,China turmoil drags oil prices lower,Brent Crude Drops Over 3% as China Slowdown Fuels Demand Concerns and Traders Bet on Lower Prices,"Brent crude, oil prices, China slowdown, market outlook, Morgan Stanley","Brent crude oil fell over 3% amid concerns about China's economic slowdown and record bearish bets, with Morgan Stanley warning prices could drop to $20 per barrel if the dollar strengthens. Oil prices have already plunged more than 70% since mid-2014 due to persistent oversupply."
20160111,Copper sinks to 6-1/2 year lows as China markets plunge again,Copper Prices Hit Lowest Level Since 2009 as Chinese Market Slump Sparks Demand Fears,"copper, China, stock market, yuan, commodities","Copper prices fell to their lowest since 2009 amid sharp declines in Chinese stock markets and concerns over weakening demand, while gold prices rose as investors sought safe havens during global market turmoil."
20160111,Gold holds near 9-week highs amid global stock market volatility,Gold Holds Near Nine-Week High as Global Stock Market Volatility Spurs Safe-Haven Demand,"gold, stock markets, China, U.S. jobs, copper","Gold prices remained near recent highs as investors sought safety amid sharp declines in Chinese stocks and ongoing global market volatility, while strong U.S. jobs data supported the dollar and copper prices fell on concerns over Chinese demand."
20160111,"Gold prices fall in Asia on profit-taking, China data in focus",Gold Slips as Investors Take Profits Amid China Turmoil and Geopolitical Tensions,"gold, China, yuan, safe-haven, trade data","Gold prices dipped slightly as investors took profits following recent gains driven by concerns over China's economy and geopolitical tensions, while the yuan rebounded after central bank intervention and Chinese equities continued to fall. Investors are awaiting key Chinese trade data for further economic signals."
