Date,Original Headline,Keywords,Keyword-Constrained Headline,Generated Headline,Academic-style Headline,Generated Summary
20150105,Oil futures extend drop to 5-1/2 year lows amid oversupply concerns,"Oil futures, global supplies glut, Brent prices, shale boom, US dollar index",Oil Futures Hit 5-Year Low Amid Shale Boom and Strong Dollar,Oil Futures Sink to Multi-Year Lows Over Supply Glut Concerns,Global Oil Futures Decline to Lowest Levels Since 2009 Due to Supply Imbalance,Oil futures slide to a 5-year low amid a global supply glut and strong US dollar despite hopes for OPEC production cuts.
20150105,"Saudi slashes monthly oil prices to Europe; trims U.S., ups Asia","Saudi Arabia, Oil Prices, Market Share, Asia, Europe",Saudi Arabia Slashes Oil Prices for Europe as It Defends Market Share,Saudi Arabia Cuts Oil Prices for Europe and Raises Them for Asia in Strategic Shift,Saudi Arabia's Differentiated Oil Pricing Strategy Reflects Market Dynamics,"Saudi Arabia cuts oil prices for Europe, raises them for Asia, signaling market focus."
20150105,Wheat futures rally amid frigid U.S. weather conditions,"wheat futures, frigid weather, Chicago Mercantile Exchange, soybeans, global supplies",Wheat Futures Rebound Amid Frigid Weather Concerns on Chicago Mercantile Exchange,Frigid Weather Concerns Boost Wheat Futures After Recent Decline,"Fluctuations in U.S. Wheat, Soybean, and Corn Futures Amid Weather and Supply Dynamics",U.S. wheat futures rise due to frigid Midwest weather concerns; soybeans and corn see mixed changes.
20150105,"WTI approaches $50 a barrel, Brent below $54 on supply glut fears","oil futures, supply glut, Brent, US dollar index, shale boom",Crude Oil Prices Plunge to Lowest Since 2009 Amid Supply Glut and Strong Dollar,Oil Prices Plummet to 2009 Lows as Global Supply Floods Market,Commodity Price Fluctuations Amid Strengthening US Dollar and Oil Surplus,"Oil futures hit lowest levels since 2009 due to supply glut, strong dollar, and unchanged OPEC production."
20150106,"Brent falls more, Saudi Arabian king issues speech","Oil prices, Saudi Arabia, supply glut, Brent crude, Greece",Saudi Oil Prices Cut Amid Global Supply Glut: Brent Hits 5-Year Low,Oil Prices Plummet to 5-Year Lows Due to Supply Glut and Economic Jitters,Impact of Oil Price Decline on International Markets and Economic Outlook,Oil prices fall to 5-year lows as supply glut concerns and weak energy demand intensify.
20150106,Copper holds near 4-1/2 year low in risk-off trade,"Copper, Greece, Euro Zone, Dollar, Commodities",Copper Prices Hit Four-Year Low Amid Euro Zone Exit Fears,Copper Plummets As Strong Dollar And Eurozone Uncertainty Weigh,Analysis of Copper Price Dynamics in Context of Eurozone Financial Instability,Copper prices near four-year low due to Greece euro zone concerns and strong dollar effect.
20150106,Gold extends gains into third session with Greece in focus,"Gold futures, euro zone, safe-haven demand, oil prices, Federal Reserve",Gold Futures Surge as Euro Zone Risks Spur Safe-Haven Demand,Gold and Oil Markets Witness Volatility Amid Euro Zone Fears and Supply Concerns,Gold Futures Increase Amid Euro Zone Exit Concerns for Greece,Gold futures rise on safe-haven demand as Greece threatens euro zone exit; oil prices fall due to supply glut concerns
20150106,Gold futures hit 3-week high amid Greece uncertainty,"Gold futures, Greece uncertainty, Syriza elections, oil market losses, Federal Reserve meeting",Gold Futures Rise Amid Greece Eurozone Worries and Oil Slump,Gold Futures Peak as Greece's Eurozone Outlook and Oil Falls Influence Market,Analysis of Recent Trends in Gold Futures Market in Response to Greece's Eurozone Dynamics and Oil Price Fluctuations,"Gold futures reach three-week high amid Greece eurozone uncertainty, oil market losses, and anticipation of Federal Reserve meeting minutes."
20150106,"Gold prices dip with focus on Greece, euro, Fed minutes","Gold, Greece, Federal Reserve, interest rates, safe-haven",Gold Prices Slip as Federal Reserve and Greece Concerns Loom,Gold Drops Amid Euro Zone Uncertainty and Fed Rate Speculations,Federal Reserve Anticipations and Euro Zone Concerns Impact Gold Market,Gold prices fell slightly as investors focused on Greece's euro zone status and awaited Federal Reserve signals on rate hikes.
20150106,Natural gas futures fluctuate near 28-month low with weather in focus,"natural gas prices, weather forecasts, volatile trade, heating demand, U.S. Energy Information Administration",Volatile Natural Gas Prices Bounce Amid Weather Forecast Shifts,Natural Gas Prices Fluctuate as Traders Eye Weather and Demand,U.S. Natural Gas Market Volatility Linked to Seasonal Weather Changes,U.S. natural gas prices fluctuate due to changing weather forecasts and heating demand projections; futures find support and resistance levels amidst the forecast variability.
20150106,NYMEX crude dips in early Asia despite strong API fall in crude stocks,"crude oil prices, supply data, short positions, OPEC output, euro zone uncertainty",Crude Oil Prices Fall Amid OPEC Output and Euro Zone Concerns,Crude Oil Dips on Supply Data and Euro Zone Worries,Analysis of Crude Oil Price Fluctuations in Response to OPEC and Market Volatility,Oil prices dropped despite lower U.S. crude stocks due to OPEC decisions and market concerns.
20150106,"NYMEX crude reverses course in Asia, up on strong API data","Crude oil, inventories, supply glut, Brent, OPEC",Crude Oil Prices Stall in Asia Despite Supply Data Highlighting Growing Glut,Crude Oil Prices Shift as Supply Data Paints Complex Picture,Analysis of Crude Oil Price Movement in Asia Highlighting Supply Fluctuations,Oil prices dipped in Asia after U.S. supply data showed mixed inventory changes amid ongoing concerns over a surplus and global economic uncertainty.
20150106,Wheat futures extend rally as U.S. cold blast threatens crops,"U.S. wheat futures, crop damage, cold weather, Midwest, grain prices",U.S. Wheat Futures Surge Amid Concerns Over Cold Weather Crop Damage,"Cold Weather Threatens U.S. Wheat and Corn Crop Yields, Driving Price Surge",U.S. Wheat Futures Increase Due to Adverse Weather Impact on Crop Yields,"U.S. wheat futures rise as cold weather threatens Midwest crops, impacting prices for wheat and corn."
20150106,"WTI falls to $48.50, Brent below $52 as rout continues","Oil futures, supply glut, price drop, U.S. stockpiles, dollar strength",Oil Futures Dip Below $49 Amid Supply Glut and Dollar Surge,Investors Worry as Oil Futures Plunge to Fresh Lows,Impact of U.S. Dollar Strength on Global Oil Futures: A Supply Perspective,Oil futures drop below $49 amid supply glut and strong dollar.
20150106,WTI oil futures trade near $49 a barrel amid bearish sentiment,"Oil futures, global supply glut, dollar strength, OPEC production, shale boom",WTI Oil Falls Below $50 Amid Global Supply Glut and Dollar Strength,Oil Prices Plunge as Global Supply Surplus Continues,Analysis of Oil Market Dynamics: WTI Dips Below $50 Due to Supply and Currency Factors,"WTI and Brent oil prices fall amid global supply glut, strong dollar, and OPEC's unchanged output target."
20150107,Brent oil plunges below $50 a barrel for first time since May 2009,"Brent oil, global supplies, OPEC, U.S. dollar, crude stockpiles",Brent Oil Prices Plunge Below $50 Amid Global Supply Glut and Strong Dollar,Oil Futures Dive as Brent Slips Below $50 Due to Supply Concerns,Analysis of Recent Decline in Brent Oil Prices and Contributing Factors,"Brent oil futures dropped below $50 due to supply glut and strong dollar, with market eyes on US stockpiles."
20150107,"Brent oil slips below $50 on mounting glut, slack demand","Brent crude, supply glut, weak demand, deflation fears, OPEC  ",Brent Crude Tumbles Below $50 Amid Supply Glut and Deflation Fears  ,Brent Crude Falls to 2009 Lows as Oil Glut and Weak Demand Persist  ,Crude Oil Prices Drop Below $50: Implications for Global Economic Growth  ,"Oil prices plummet due to a supply glut and weak global demand, fueling deflation concerns as Brent crude falls below $50 a barrel for the first time since May 2009."
20150107,Copper futures trade near 4-1/2 year low as stronger dollar weighs,"Copper prices, U.S. dollar, Greece euro exit, Syriza election, Federal Reserve",Copper Prices Slump as Strong Dollar and Greece Uncertainty Weigh on Markets,"Strong Dollar Dampens Copper, Raises Concerns Over Greek Eurozone Exit","Market Dynamics: Copper, Dollar Strength, and Eurozone Instability",Copper prices near four-year lows due to strong U.S. dollar and uncertainties over Greece's euro zone future.
20150107,Gold futures dip but hold near 3-week high ahead of Fed minutes,"Gold futures, Federal Reserve, interest rates, safe-haven demand, oil prices","Gold Futures Slide as Fed Meeting Minutes Loom, Interest Rate Hike on Horizon",Gold and Oil Prices See Divergent Trends Amid Fed Policy Speculations,Gold Futures Experience Minor Decline as Market Awaits Federal Reserve Minutes,Gold futures remain near three-week high with Fed policy minutes pending; oil prices hit lowest since 2009.
20150107,Gold hits session lows after upbeat ADP data,"Gold futures, non-farm private employment, Federal Reserve, U.S. economy, oil prices",Gold Futures Plunge Amid Strong U.S. Jobs Data and Fed Rate Speculations,"Gold Prices Dip as U.S. Employment Surges, Investors Eye Fed Moves",Impact of U.S. Non-Farm Employment Data on Gold Futures Amid Fed Rate Speculations,Gold futures fall on strong U.S. employment growth and anticipated Fed monetary policy changes
20150107,Gold prices gain in Asia as market notes patience by Fed on higher rates,"gold prices, Federal Reserve, interest rates, non-farm employment, Comex",Gold Prices Rise as Fed Remains Cautious on Interest Rate Timing,Gold Prices Edge Higher Amid Interest Rate and Employment Concerns,Gold Market Reaction Following Federal Reserve's Interest Rate Indications,Gold prices gain modestly with Fed's patient stance on rate hikes and employment data showing unexpected growth.
20150107,Natural gas futures waver as traders weigh shifting weather forecasts,"natural gas, prices, weather forecasts, demand, storage",Natural Gas Prices Volatile as Weather Forecasts Stir Demand Concerns,Natural Gas Prices Fluctuate Amid Changing U.S. Weather Predictions,Fluctuations in U.S. Natural Gas Prices Correlate with Variations in Weather Forecasts,"Natural gas prices in the U.S. fluctuated as traders assessed upcoming weather conditions and their impact on demand, with a potential drop in storage levels."
20150107,"NYMEX crude gains in Asia on U.S. stocks drop, patient Fed stance","Crude oil, Federal Reserve, inventories, interest rates, Brent",Crude Oil Prices Rise Amid Fed's Patience and Declining U.S. Inventories,Oil Prices Climb in Asia as U.S. Inventories Shrink,Evaluating Factors Influencing the Surge in Crude Oil Prices,Crude prices up as U.S. inventories fall and Fed remains patient with rate hikes
20150107,Soybean futures up for third day on South America crop concerns,"soybean futures, dry weather, South American growers, crop damage, Chicago Mercantile Exchange",U.S. Soybean Futures Rally Amid South American Dry Weather Concerns,U.S. Soybean Prices Rise on Crop Damage Fears in South America,U.S. Soybean Futures Experience Growth As Dry Conditions Persist in South America,Soybean futures rise due to dry weather concerns in South America and increased U.S. demand.
20150107,WTI oil futures trim gains after U.S. supply data,"oil futures, U.S. crude inventories, gasoline supplies, Federal Reserve, Brent prices",U.S. Oil Supplies Fall as Gasoline Stocks Surge Amid Federal Reserve Watch,Gasoline and Distillate Supplies Soar as Oil Inventories Drop Unexpectedly,Analysis of U.S. Oil Market Dynamics: Inventory Decline Amid Monetary Policy Speculations,"U.S. crude inventories fell 3.1 million barrels, gasoline and distillate supplies surged, while oil prices and non-farm employment figures fluctuated."
20150108,"Copper futures rise on ECB hopes, upbeat U.S. outlook","Copper, European Central Bank, U.S. Economy, Stimulus, Futures",Copper Prices Rise as European Central Bank Stimulus Anticipated,Boost in Copper Prices Amid Economic Resilience and Stimulus Hopes,Analyzing the Impact of ECB Stimulus Expectations on Copper Futures,Copper prices rise on ECB stimulus hopes and U.S. economic resilience
20150108,Gold futures edge lower ahead of U.S. data,"Gold, U.S. economy, interest rates, futures, Federal Reserve",Gold Edges Lower as Interest Rate Hike Looms Amid Robust U.S. Economy,"Market Players Eye Key U.S. Data as Gold Dips, Oil Recovers",Gold Prices Decline Amid Anticipation of Rising U.S. Interest Rates,Gold futures dip as markets anticipate U.S. economic data and interest rate hikes.
20150108,Gold futures turn positive after jobless claims miss,"Gold, unemployment claims, U.S. economy, interest rates, Federal Reserve",Gold Climbs Amid U.S. Jobless Claims Drop and Interest Rate Uncertainty,Gold Edges Up as Unemployment Claims Provide a Boost,Fluctuations in Gold Pricing Influenced by U.S. Labor Market and Economic Expectations,Gold prices rise as fewer-than-expected jobless claims suggest mixed U.S. recovery tempers rate-rise expectations
20150108,Gold prices dip in Asia with focus on upcoming U.S. jobs data,"Gold, interest rates, unemployment, Federal Reserve, economic recovery",Gold Prices Dip as Investors Eye U.S. Jobs Data and Fed Rate Hike Expectations,Gold Prices Decline Amid Anticipation of U.S. Jobs Report,Gold Market Fluctuations in Response to U.S. Employment Data and Monetary Policy Signals,Gold prices ease as investors anticipate U.S. jobs data guiding Fed interest rate decisions
20150108,Natural gas futures edge higher after storage data,"Natural gas, futures rally, U.S. supplies, demand outlook, weather forecast",Natural Gas Futures Rally as U.S. Supplies Dip Amid Demand Outlook,Natural Gas Prices Surge Following Unexpected Supply Drop,Supply Decrease and Market Dynamics Influence Natural Gas Price Shift,"U.S. natural gas futures rose after supplies dropped more than expected, amid mixed weather forecasts affecting demand."
20150108,"No chance of OPEC output cut, even after oil dips below $50: Gulf delegates","Saudi Arabia, OPEC, oil prices, shale oil, production cuts",Saudi Arabia and OPEC Allies Resist Pressure for Production Cuts Amid Falling Oil Prices,OPEC Faces Internal Tensions as Oil Prices Plummet Below $50 a Barrel,Gulf OPEC Members Maintain Production Levels Despite Calls for Output Reductions,"Saudi Arabia and Gulf OPEC allies hold firm on output levels, rejecting production cuts despite plunging oil prices, as non-Gulf members push for action."
20150108,NYMEX crude jumps in Asia on rebound ahead of U.S. jobs data,"crude oil, U.S. jobs data, demand, Brent prices, OPEC",Crude Oil Prices Surge Amid Positive U.S. Jobs Data and Demand Growth,Crude Oil Prices Rise on Strong U.S. Economy and Supply Concerns,Analysis of Crude Oil Price Fluctuations in Light of U.S. Economic Indicators,Crude oil prices rise as strong U.S. job data boosts demand expectations.
20150108,Oil holds as traders search for floor to rout; Brent above $50,"oil prices, U.S. jobs data, selling fatigue, Brent crude, global glut",Oil Prices Hold Steady Amid U.S. Job Gains and Selling Fatigue,Oil Prices at a Crossroads: Stability or Further Decline?,Oil Market Stabilizes on U.S. Job Data Amid Ongoing Global Supply Glut,"Oil prices stabilize as U.S. jobs data bolsters market, but concerns over global supply persist."
20150108,Wheat near 1-month low amid easing concerns over U.S. crops,"wheat futures, crop damage, U.S. Midwest, corn prices, soybeans",U.S. Wheat Futures Hit One-Month Low as Crop Damage Concerns Recede,Wheat Futures Slide While U.S. Corn and Soybeans Show Resilience,U.S. Wheat Futures Reach Monthly Low Due to Diminishing Crop Damage Concerns,U.S. wheat futures fell to a one-month low amid reduced concerns about cold-weather crop damage; corn and soybean prices showed varied movements.
20150108,"WTI crude, Brent oil futures turn negative in volatile trade","oil prices, global supplies, US dollar, WTI futures, Brent crude",Oil Prices Slide as Strong Dollar and Oversupply Weigh on Market,Oil Prices Hit Turbulence amidst Global Supply Glut and Strong Dollar,Volatility in Oil Markets: Analyzing the Impacts of Supply Overshoot and Currency Movements,Oil prices dip as global supply glut persists amid strong US dollar
20150108,"WTI oil futures hold gains, Brent above $51 as sentiment recovers","oil prices, WTI, Brent, U.S. crude inventories, quantitative easing",Oil Prices Rebound: WTI and Brent Gain as U.S. Inventories Fall and ECB Easing Anticipated,Oil Markets Boosted by Inventory Decline and ECB Stimulus Expectations,WTI and Brent Crude Oil Futures Exhibit Gains Amid Anticipated ECB Monetary Policy Adjustments,"Oil prices recover with WTI and Brent gaining, driven by declining U.S. crude inventories and ECB easing expectations."
20150109,Crude oil futures re-approach more than 5-year lows,"Crude Oil, Global Supplies, Market Sentiment, OPEC Decision, US Dollar Index",Crude Oil Prices Slide as Global Supply Glut Weighs on Market Sentiment,Crude Oil Futures Revisit Lows Amid Supply Glut and Strong Dollar,Analysis of the 2023 Crude Oil Market: Effects of Global Oversupply and Currency Fluctuations,"Crude oil prices decline due to global surplus, strong USD, and OPEC's steady output decision."
20150109,"Gold higher, but gains limited by strong dollar","Gold, U.S. recovery, jobless claims, interest rates, dollar index",Gold Prices Rise Amid U.S. Recovery Signs and Jobless Claim Data,Gold Hits Gains as U.S. Jobless Claims Support Recovery Outlook,Analysis of Gold Price Fluctuations in Response to U.S. Economic Indicators,"Gold prices increase slightly as U.S. jobless claims signal ongoing economic recovery, but outlook remains cautious with potential interest rate hikes looming."
20150109,"Oil hits April 2009 low, then pares loss on U.S. oil rig data","oil prices, drilling rigs, Brent crude, U.S. crude, Baker Hughes",Oil Prices Tumble as U.S. Drilling Rigs See Largest Drop in 24 Years,Oil Market Slides to 2009 Lows Amid Falling Rig Count and Steady U.S. Jobs Data,Global Oil Markets Experience Significant Decline Due to Reduced U.S. Drilling Activity,Oil prices hit April 2009 lows but recover slightly on U.S. rig count drop; Brent crude fluctuates around $50 a barrel.
20150111,Crude oil futures - weekly outlook: January 12 - 16,"Brent crude, oil prices, global supply glut, U.S. dollar, Federal Reserve",Global Oil Prices Slide to a Multi-Year Low Amid Supply Glut and Dollar Pressure,Oil Prices Tumble to Five-Year Lows as Market Faces Surplus Threat,Brent Oil Prices Decline to Historic Lows Due to Excess Supply and Economic Factors,"Oil prices plunged to a five-year low due to global surplus and economic factors, as Brent closed at $50.11 and WTI at $48.36 per barrel."
20150111,Gold / Silver / Copper futures - weekly outlook: January 12 - 16,"gold prices, U.S. jobs report, Federal Reserve, dollar pressure, Chinese economy",Gold Prices Surge Amid Dollar Weakness and Fed Rate Speculation,Gold and Silver Futures Rise Following U.S. Jobs Report Insights,Implications of U.S. Economic Indicators on Precious Metal Futures,Gold rallies as U.S. jobs report suggests Federal Reserve may delay rate hikes; Chinese economic data impacts copper prices.
20150111,Gold prices gain in early Asia as dollar index eases,"gold prices, US dollar, Federal Reserve, US jobs report, China economy",Gold Prices Edge Higher as Dollar Weakens Amid US Wage Concerns,Gold Price Slightly Up on Light Data Day in Asia,Evaluation of US Economic Indicators and Asian Market Responses in Early 2015,"Gold prices rise slightly in early Asia as the dollar weakens due to US wage concerns, with keen market focus on upcoming US retail sales and China’s economic performance."
20150111,Grain futures - weekly outlook: January 12 - 16,"corn futures, supply and demand report, strong demand, crop damage, USDA forecasts",Corn Futures Surge as USDA Prepares Crucial Supply and Demand Report,US Commodities End Week Mixed as Corn Surges on Strong Demand,"USDA's Upcoming Report to Shed Light on Corn, Soybean, and Wheat Markets",Corn futures rise as investors adjust positions before USDA supply and demand report; soybean prices increase due to South American crop concerns; wheat declines.
20150111,Natural gas futures - weekly outlook: January 12 - 16,"natural gas, futures, weather forecasts, U.S. demand, EIA report",U.S. Natural Gas Futures Edge Higher Despite Weekly Decline Amid Shifting Weather,Natural Gas Futures Rise as Weather Models Predict Cold Snap,Analysis of Weekly Trends in U.S. Natural Gas Prices: Impacts of Weather Forecasts and Storage Data,U.S. natural gas prices rose slightly on Friday but saw a seventh consecutive weekly decline due to mild weather and increased production amid higher-than-expected storage draw.
20150111,NYMEX crude falls sharply in Asia as oversupply worries grow,"crude oil, oversupply concerns, Brent prices, shale boom, U.S. dollar",Crude Oil Prices Plunge Amid Oversupply Concerns and U.S. Shale Boom,"Oil Prices Tumble in Asia, Facing Global Demand Struggles",Crude Oil Prices Decline Due to Global Supply Glut and Market Pressures,"Crude oil prices drop in Asia due to oversupply concerns and weak demand, with Brent and WTI prices plummeting in 2014 as OPEC maintains production targets."
20150112,"Copper drops to 5-year low on demand concerns, stronger dollar","Copper prices, global demand slowdown, U.S. dollar strength, Chinese inflation, commodity impact",Copper Prices Hit Five-Year Low Amid Dollar Strength and China Demand Worries,Commodity Prices Tumble as Global Economic Concerns Mount,Copper Market Experiences Significant Decline Amid Strengthening U.S. Dollar and Global Demand Contraction,"Copper prices dropped to a five-year low due to a strong U.S. dollar and decreased global demand, particularly from China."
20150112,Copper futures trade near lowest since October 2009,"Copper, Global Demand, Inflation, Dollar, Oil",Copper Prices Struggle Amid Global Demand Worries and Strong Dollar,Copper Prices Nosedive to Five-Year Low Amid Global Demand Concerns,Economic Indicators Pressure Commodity Markets: Copper and Oil Reach Multi-Year Lows,Copper prices hit a five-year low as global demand worries and a strong dollar loom large.
20150112,Crude oil extends sell-off as bearish sentiment dominates,"Crude oil, futures, Goldman Sachs, Brent, demand",Crude Oil Futures Plummet as Goldman Sachs Lowers Forecast Amid Supply Concerns,Oil Prices Slump Sharply with Anticipation of Continued Declines,Crude Oil Futures Decline Markedly as Economic Indicators and Forecasts Evolve,Crude oil futures drop sharply with expectations of lower prices as investors increase short positions amid supply glut concerns.
20150112,Gold climbs to 4-week high as oil rout continues,"Gold, Federal Reserve, interest rates, oil market, dollar",Gold Surges as Investors Flee Oil Market Amid Fed Rate Speculation,Gold Climbs as Oil Prices Plummet and Fed Rate Hike Delays Loom,Gold Prices Escalate in Response to Oil Market Decline and Federal Reserve Rate Strategies,"Gold hits four-week high as investors seek refuge from plunging oil prices, speculating on delayed Fed rate hikes"
20150112,Gold eases in Asia as investors eye sharp falls in commodity complex,"Gold prices, crude oil, copper futures, global demand, U.S. dollar",Gold Prices Dip as Crude Oil Plummets and Global Demand Concerns Rise,Investors Eye Global Commodity Slide as Gold Prices Ease,Impact of Global Demand and Dollar Strength on Commodity Markets,Gold and crude oil prices drop amid global demand concerns and U.S. dollar strength.
20150112,Natural gas futures tumble 3% on mild weather outlook,"natural gas prices, mild weather, futures decline, demand expectations, storage report  ",Natural Gas Prices Plummet as Milder Weather Forecast Dampens Demand Expectations  ,Milder Weather Sends U.S. Natural Gas Prices Tumbling  ,Analysis of Weather-Driven Declines in U.S. Natural Gas Prices  ,Milder weather lowers U.S. natural gas prices as demand expectations ease.
20150112,NYMEX crude dips further in early Asia trade with U.S. stocks data ahead,"crude oil, price forecast, supply glut, Brent prices, global demand",Crude Oil Prices Plunge Amid Supply Glut and Downgraded Forecasts,Crude Prices Drop Further Due to Lower Forecasts and Supply Concerns,Crude Oil Prices Decline in Asia as Banks Downgrade Price Forecasts,Crude oil prices in Asia fell due to anticipated U.S. stock data and major price forecast downgrades by banks.
20150112,Oil tumbles 5 percent to new low on Goldman price forecast cut,"Oil prices, Goldman Sachs, U.S. shale, refinery outages, Saudi Arabia",Goldman Sachs Forecast Slashes Oil Prices Amid Saudi Reluctance and U.S. Refinery Outages,Oil Prices Plummet as Goldman Sachs Forecasts Slump and Refineries Struggle,The Impact of Goldman Sachs' Oil Price Forecast on Recent Market Trends,Oil prices drop over 5% as Goldman Sachs cuts forecasts and refineries face outages.
