Date,Keywords,Classification,Positive,Negative,Neutral
20150118,oil prices supply glut iea forecast us oil rigs brent crude,negative,0.02,0.98,0.0
20150119,copper china economic data commodities monetary policy,negative,0.06,0.78,0.16
20150119,copper china economic data commodities monetary policy,negative,0.06,0.78,0.16
20150119,oil prices global supply brent crude wti opec,negative,0.04,0.95,0.0
20150119,gold ecb bondbuying china copper,negative,0.13,0.87,0.0
20150119,gold prices china gdp ecb swiss franc copper,negative,0.12,0.87,0.01
20150119,gold ecb quantitative easing china copper,negative,0.38,0.62,0.0
20150119,gold prices china gdp ecb swiss franc metals trading,negative,0.06,0.92,0.02
20150119,opec oil prices iran production cuts saudi arabia,positive,0.99,0.01,0.0
20150119,natural gas prices weather demand storage,negative,0.1,0.89,0.01
20150119,crude oil china gdp opec supply glut brent,negative,0.08,0.92,0.0
20150119,crude oil opec china gdp brent supply glut,negative,0.03,0.97,0.0
20150119,oil prices opec supply glut brent crude china economy,negative,0.02,0.97,0.0
20150119,oil prices brent crude china economy iraq production opec,negative,0.12,0.87,0.01
20150120,copper china economic growth imf commodities,positive,0.87,0.13,0.0
20150120,gold ecb quantitative easing china growth copper,positive,0.91,0.09,0.0
20150120,gold ecb greece china economy imf forecast,negative,0.03,0.97,0.0
20150120,gold ecb quantitative easing china growth copper,positive,0.91,0.09,0.0
20150120,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20150120,crude oil imf forecast china economy oil prices supply data,negative,0.15,0.83,0.02
20150120,oil prices imf forecast opec iran oversupply,negative,0.03,0.97,0.0
20150120,iraq wheat islamic state farmers food security,positive,0.94,0.04,0.02
20150120,soybeans china demand crop prospects corn wheat,negative,0.4,0.6,0.0
20150120,oil prices imf china economy global growth brent crude,negative,0.4,0.59,0.01
20150120,oil prices china economy imf forecast wti crude brent crude,negative,0.03,0.96,0.01
20150121,copper global economy china commodities imf,negative,0.16,0.84,0.0
20150121,gold ecb quantitative easing safe global economy,negative,0.13,0.59,0.28
20150121,gold ecb housing starts silver copper,negative,0.1,0.9,0.0
20150121,gold housing starts building permits copper global economy,negative,0.25,0.74,0.0
20150121,crude oil stockpiles api brent ecb,negative,0.01,0.99,0.0
20150121,crude oil global demand imf forecast china growth oil supply,positive,0.56,0.44,0.0
20150121,crude oil ecb short covering us inventories brent,negative,0.02,0.98,0.0
20150121,natural gas prices storage weather investors,negative,0.04,0.69,0.27
20150121,wheat soybeans corn global supply commodity prices,negative,0.05,0.95,0.0
20150122,copper ecb quantitative easing global economy commodities,negative,0.04,0.95,0.0
20150122,copper china pmi ecb stimulus gold prices us dollar,negative,0.07,0.92,0.01
20150122,gold ecb quantitative easing euro commodities,negative,0.21,0.78,0.0
20150122,gold ecb quantitative easing china pmi dollar,negative,0.17,0.82,0.0
20150122,gold ecb saudi arabia manufacturing futures,negative,0.18,0.81,0.01
20150122,gold ecb bondbuying dollar metals,negative,0.09,0.9,0.0
20150122,natural gas futures storage demand prices,negative,0.19,0.8,0.01
20150122,crude oil china pmi us inventories brent ecb stimulus,negative,0.01,0.91,0.08
20150122,crude oil saudi arabia manufacturing inventories ecb,negative,0.04,0.95,0.0
20150122,crude oil saudi arabia inventories china pmi ecb stimulus,negative,0.01,0.99,0.0
20150122,crude oil ecb opec inventories brent,negative,0.15,0.83,0.02
20150122,saudi arabia king abdullah king salman succession middle east,positive,0.87,0.11,0.01
20150122,libya central bank benghazi un conflict,neutral,0.42,0.12,0.45
20150122,soybeans corn wheat futures global supply,negative,0.09,0.91,0.0
20150122,oil prices crude inventories us dollar brent ecb stimulus,negative,0.01,0.98,0.0
20150122,crude oil ecb quantitative easing us dollar oil prices,negative,0.03,0.97,0.0
20150123,crude oil saudi arabia supply glut ecb stimulus us dollar,negative,0.01,0.98,0.0
20150123,gold ecb quantitative easing inflation china,negative,0.3,0.7,0.0
20150125,oil prices us inventories dollar rally brent crude opec,positive,0.96,0.04,0.0
20150125,gold dollar ecb copper greece,negative,0.33,0.66,0.01
20150125,gold greece austerity copper ecb,negative,0.07,0.93,0.01
20150125,soybeans corn wheat global supply us dollar,negative,0.06,0.93,0.0
20150125,natural gas futures weather demand storage,negative,0.05,0.94,0.0
20150125,crude oil greece austerity inventories ecb,negative,0.01,0.99,0.0
20150126,copper greece euro zone commodities financial markets,negative,0.13,0.84,0.04
20150126,gold greece syriza commodities euro,negative,0.03,0.97,0.0
20150126,gold greece syriza euro commodities,negative,0.02,0.98,0.0
20150126,gold greece federal reserve euro zone safehaven,negative,0.35,0.61,0.04
20150126,natural gas prices northeast storm storage volatility,negative,0.03,0.97,0.0
20150126,crude oil opec greece stockpiles euro,negative,0.02,0.98,0.0
20150126,soybeans futures brazil global supply corn,positive,0.73,0.26,0.01
20150126,oil prices greece syriza opec crude futures,negative,0.08,0.91,0.02
20150126,crude oil opec greece euro market,positive,0.52,0.45,0.03
20150127,copper china industrial profits commodities economic slowdown,negative,0.35,0.65,0.0
20150127,gold federal reserve futures dollar commodities,positive,0.52,0.47,0.02
20150127,gold durable goods us economy federal reserve commodities,negative,0.03,0.97,0.0
20150127,gold prices federal reserve durable goods economic outlook metals trading,negative,0.06,0.94,0.01
20150127,natural gas prices northeast snowfall storage,negative,0.03,0.62,0.35
20150127,crude oil us inventory prices economic data opec,negative,0.02,0.97,0.0
20150127,crude oil inventories economic data oil prices federal reserve,negative,0.03,0.96,0.01
20150127,crude oil economic data us stockpiles brent federal reserve,negative,0.02,0.97,0.0
20150127,wheat futures global supply soybeans corn prices demand,negative,0.42,0.56,0.02
20150127,oil prices us stockpiles opec brent crude dollar index,negative,0.04,0.96,0.0
20150128,copper federal reserve interest rates commodities global economy,negative,0.03,0.95,0.02
20150128,gold federal reserve futures us dollar metals,negative,0.25,0.74,0.0
20150128,gold prices federal reserve interest rates us dollar metals trading,negative,0.04,0.96,0.01
20150128,gold federal reserve interest rates us dollar metals,negative,0.11,0.88,0.01
20150128,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20150128,crude oil inventories federal reserve brent us economy,negative,0.03,0.96,0.0
20150128,wheat soybeans corn global supply futures,negative,0.12,0.88,0.01
20150128,oil futures crude inventories us dollar opec brent,negative,0.01,0.99,0.0
20150128,oil prices crude inventories us supply opec federal reserve,negative,0.01,0.98,0.0
20150129,copper prices federal reserve greece us dollar commodities,negative,0.04,0.96,0.01
20150129,crude oil supply glut brent us dollar jobless claims,negative,0.26,0.74,0.0
20150129,gold unemployment federal reserve us dollar greece,negative,0.19,0.78,0.03
20150129,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
20150129,gold chinese new year us dollar unemployment copper,negative,0.02,0.98,0.0
20150129,natural gas futures storage demand prices,negative,0.19,0.8,0.01
20150129,crude oil global supply opec us economy greece bailout,negative,0.05,0.95,0.0
20150129,grain futures corn wheat soybeans global supply,negative,0.12,0.88,0.01
20150129,oil prices us inventories crude glut opec dollar index,negative,0.01,0.99,0.0
20150130,crude oil futures global supply dollar opec,negative,0.07,0.93,0.0
20150130,gold federal reserve jobless claims us dollar economic reports,positive,0.5,0.49,0.0
20150130,opec oil supply angola saudi arabia market share,negative,0.0,0.98,0.01
20150131,oil prices gastoliquids sasol shale gas energy industry,negative,0.08,0.91,0.0
20150201,copper manufacturing china gold pmi,negative,0.22,0.77,0.01
20150201,copper manufacturing china gold pmi,negative,0.22,0.77,0.01
20150201,oil prices wti brent us production rig count,negative,0.32,0.67,0.01
20150201,gold us economy futures manufacturing silver,neutral,0.06,0.17,0.77
20150201,wheat soybeans global supply prices usda,negative,0.03,0.97,0.0
20150201,natural gas futures demand storage weather,negative,0.07,0.86,0.07
20150201,crude oil china pmi global supply manufacturing opec,negative,0.07,0.93,0.0
20150201,crude oil china manufacturing global supply opec economic data,negative,0.07,0.92,0.01
20150202,copper china manufacturing commodities greece,negative,0.05,0.95,0.0
20150202,crude oil global economy china manufacturing us growth oil supply,negative,0.02,0.98,0.0
20150202,oil futures manufacturing us economy china prices,negative,0.23,0.76,0.01
20150202,gold us economy greece manufacturing copper,positive,0.82,0.16,0.01
20150202,gold silver personal spending pce index federal reserve,negative,0.16,0.83,0.0
20150202,gold personal spending copper china manufacturing commodities,negative,0.09,0.91,0.0
20150202,natural gas prices supply weather storage,negative,0.08,0.69,0.23
20150202,crude oil stockpiles manufacturing us economy china,negative,0.04,0.96,0.01
20150202,wheat corn soybeans global supply prices,negative,0.04,0.96,0.0
20150203,brent oil production cuts us drillers rig count oil prices,positive,1.0,0.0,0.0
20150203,copper oil prices global markets equities economic data,negative,0.08,0.89,0.03
20150203,crude oil rig count price surge brent wti,positive,0.97,0.03,0.0
20150203,gold us economy futures oil prices stock markets,negative,0.11,0.87,0.02
20150203,gold us economy chinese new year interest rates nonfarm payrolls,negative,0.04,0.95,0.01
20150203,gold greece bailout us economy commodities,negative,0.09,0.91,0.0
20150203,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20150203,crude oil us inventories brent futures production cuts oil rigs,positive,1.0,0.0,0.0
20150203,wheat corn soybeans futures global supply,negative,0.07,0.92,0.0
20150204,copper china stimulus gold greece,negative,0.16,0.84,0.0
20150204,crude oil brent rig count capital expenditure greece bailout,positive,0.68,0.32,0.0
20150204,federal energy energy efficiency government buildings fuel consumption energy costs,negative,0.16,0.83,0.0
20150204,gold us jobs china reserve ratio oil prices,negative,0.05,0.95,0.0
20150204,gold greece china monetary policy employment,negative,0.14,0.76,0.1
20150204,gold greece us jobs oil prices metals,negative,0.04,0.96,0.0
20150204,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20150204,crude oil china reserve requirement inventories brent,negative,0.04,0.92,0.04
20150204,wheat corn soybeans futures global supply,negative,0.07,0.92,0.0
20150204,oil prices us inventories supply glut brent crude production cuts,positive,0.99,0.0,0.0
20150205,copper greece china stimulus ecb commodities,positive,0.75,0.25,0.0
20150205,crude oil inventories greece jobless claims trade deficit,positive,0.97,0.03,0.0
20150205,pdvsa algeria naphtha orinoco oil exports,positive,0.93,0.04,0.03
20150205,gold greece ecb nonfarm payrolls oil prices,negative,0.03,0.96,0.01
20150205,gold us jobs greece interest rates metals,negative,0.05,0.94,0.02
20150205,gold us economy greece oil prices metals,negative,0.05,0.94,0.01
20150205,natural gas futures storage demand prices,negative,0.19,0.8,0.01
20150205,crude oil us jobs greece inventories prices,negative,0.04,0.95,0.0
20150205,crude oil supply glut greece debt brent us inventories,negative,0.25,0.75,0.0
20150205,corn wheat soybeans us dollar commodities,negative,0.05,0.94,0.0
20150205,crude oil inventories greece debt brent market sentiment,negative,0.03,0.97,0.0
20150206,crude oil futures us jobs supply glut greece,positive,0.78,0.21,0.0
20150206,gold us jobs greece futures federal reserve,negative,0.03,0.96,0.0
20150208,crude oil production cuts us jobs brent global economy,positive,1.0,0.0,0.0
20150208,gold us economy federal reserve dollar greece,negative,0.38,0.6,0.01
20150208,gold copper china trade greece debt us economy,negative,0.04,0.96,0.0
20150208,corn wheat soybeans futures supply,negative,0.26,0.71,0.03
20150208,natural gas futures supply demand storage,negative,0.06,0.94,0.0
20150208,crude oil china greece supply glut economic data,negative,0.07,0.93,0.0
20150209,copper china trade data stimulus gold,positive,0.81,0.18,0.01
20150209,opec oil prices supply forecast us drilling brent crude,negative,0.03,0.96,0.01
20150209,gold prices china data greece crisis copper consumption stimulus measures,negative,0.47,0.53,0.0
20150209,gold greece us jobs dollar china,negative,0.16,0.8,0.04
20150209,gold china greece inflation metals,negative,0.05,0.95,0.0
20150209,gold greece us jobs copper china,negative,0.1,0.9,0.0
20150209,natural gas prices northeast snowfall demand,negative,0.04,0.94,0.02
20150209,crude oil opec china inflation us supply brent,negative,0.03,0.97,0.0
20150209,crude oil china opec prices supply,negative,0.27,0.7,0.04
20150209,oil prices opec us production supply forecast brent crude,negative,0.02,0.98,0.0
20150209,wheat corn soybeans usda report commodity prices,negative,0.04,0.96,0.0
20150209,crude oil production cuts brent china trade us jobs,positive,1.0,0.0,0.0
20150210,copper prices china inflation economic slowdown stimulus measures commodity markets,negative,0.03,0.97,0.0
20150210,crude oil iea opec prices supply,negative,0.08,0.78,0.14
20150210,gold greece debt extension federal reserve china,negative,0.16,0.83,0.01
20150210,gold greece euro zone federal reserve china,negative,0.06,0.94,0.0
20150210,gold greece china inflation federal reserve,negative,0.03,0.96,0.01
20150210,natural gas prices cold weather heating demand storage,negative,0.11,0.85,0.04
20150210,crude oil us inventories china economy opec greece debt,negative,0.06,0.94,0.0
20150210,oil futures greece debt supply glut brent crude us production,positive,0.68,0.31,0.0
20150210,corn soybeans wheat futures usda,negative,0.19,0.8,0.01
20150211,copper greece bailout china gold,positive,0.65,0.35,0.0
20150211,gold prices greece bailout euro zone federal reserve china stimulus,negative,0.41,0.58,0.01
20150211,gold greece euro zone interest rates copper,neutral,0.02,0.15,0.83
20150211,gold greece bailout federal reserve copper,positive,0.66,0.34,0.0
20150211,natural gas prices storage weather demand,negative,0.08,0.87,0.05
20150211,crude oil stockpiles greece opec prices,negative,0.02,0.98,0.0
20150211,crude oil supply glut greece euro zone stockpiles,negative,0.47,0.53,0.0
20150211,wheat futures usda global supplies corn stocks soybean demand,negative,0.13,0.87,0.0
20150211,oil prices us inventories supply glut greece bailout eurozone,negative,0.04,0.96,0.0
20150211,oil futures crude inventories iea report greece bailout opec,negative,0.02,0.98,0.0
20150212,copper ceasefire russiaukraine commodities greece bailout,negative,0.27,0.73,0.0
20150212,gold greece bailout federal reserve copper,positive,0.66,0.34,0.0
20150212,gold retail sales jobless claims federal reserve greece bailout,positive,0.52,0.48,0.0
20150212,gold us economy chinese new year greece bailout federal reserve,negative,0.23,0.76,0.0
20150212,natural gas storage futures demand prices,positive,0.52,0.48,0.01
20150212,crude oil ukraine ceasefire greek bailout market sentiment brent,positive,0.85,0.15,0.0
20150212,crude oil inventories opec greece brent,negative,0.14,0.85,0.01
20150212,grain futures usda corn soybeans wheat,positive,0.71,0.25,0.04
20150212,oil prices us dollar ukraine ceasefire brent crude greece bailout,negative,0.04,0.96,0.0
20150213,pork prices china chinese new year government intervention production,negative,0.33,0.65,0.02
20150213,crude oil us dollar retail sales jobless claims greece,negative,0.25,0.75,0.0
20150213,gold prices us dollar retail sales jobless claims greece bailout,negative,0.21,0.78,0.0
20150213,cocoa prices chocolate west africa demand weather,positive,0.81,0.18,0.01
20150215,crude oil production cuts brent us dollar economic data,positive,1.0,0.0,0.0
20150215,gold us dollar greece federal reserve commodities,negative,0.03,0.97,0.0
20150215,gold greece us dollar consumer sentiment federal reserve,positive,0.58,0.36,0.06
20150215,soybeans wheat corn usda exports,positive,0.53,0.45,0.01
20150215,natural gas futures weather storage demand,negative,0.03,0.97,0.0
20150215,crude oil ukraine ceasefire us oil rigs brent us dollar,negative,0.07,0.93,0.0
20150216,copper prices greece bailout euro zone japan economy gold futures,negative,0.4,0.58,0.01
20150216,oil futures brent crude rig count greece bailout japan economy,negative,0.41,0.57,0.02
20150216,gold greece euro zone us dollar interest rates,negative,0.09,0.84,0.08
20150216,gold greece euro zone us dollar interest rates,negative,0.09,0.84,0.08
20150216,greece bailout gold prices euro zone japan economy,negative,0.16,0.84,0.01
20150216,natural gas prices weather storage futures,negative,0.07,0.92,0.01
20150216,crude oil greece bailout euro zone us supply japan economy,negative,0.09,0.91,0.0
20150216,crude oil greece euro zone brent opec,negative,0.39,0.56,0.05
20150217,copper greece euro zone bailout commodities,negative,0.25,0.75,0.0
20150217,crude oil brent market volatility greece bailout oil production,positive,0.76,0.23,0.01
20150217,gold greece bailout federal reserve commodities,positive,0.56,0.43,0.0
20150217,gold greece copper fed holiday,neutral,0.26,0.21,0.53
20150217,gold federal reserve greece interest rates commodities,neutral,0.0,0.02,0.98
20150217,natural gas prices heating demand storage weather,negative,0.31,0.45,0.24
20150217,crude oil supply data price drop greece bailout opec,negative,0.25,0.75,0.0
20150217,crude oil production cuts brent greece bailout euro zone,positive,1.0,0.0,0.0
20150217,wheat futures weather soybeans corn grain markets,negative,0.42,0.52,0.06
20150218,copper prices greece bailout china markets federal reserve gold,negative,0.45,0.54,0.01
20150218,gold greece bailout federal reserve interest rates,negative,0.18,0.79,0.04
20150218,gold fed minutes japan trade copper greece bailout,negative,0.09,0.9,0.01
20150218,gold housing data federal reserve greece bailout copper,negative,0.43,0.56,0.01
20150218,natural gas inventories prices weather demand,negative,0.02,0.98,0.0
20150218,crude oil stockpiles japan trade opec greece bailout,negative,0.09,0.91,0.01
20150218,crude oil futures stockpiles brent greece,negative,0.0,0.99,0.0
20150218,crude oil brent supply data us stockpiles greece bailout,negative,0.01,0.99,0.0
20150218,soybeans wheat corn demand weather,negative,0.09,0.9,0.01
20150219,copper greece bailout federal reserve gold prices us dollar,negative,0.45,0.55,0.01
20150219,csx crude oil train derailment virginia rail routes,positive,0.98,0.02,0.0
20150219,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
20150219,gold greece bailout fed minutes interest rates,negative,0.11,0.73,0.15
20150219,gold greece bailout us rates commodities,negative,0.04,0.96,0.0
20150219,natural gas futures storage demand prices,negative,0.19,0.8,0.01
20150219,crude oil stockpiles greece euro zone prices,negative,0.04,0.96,0.0
20150219,oil futures crude inventories price drop brent supply glut,negative,0.03,0.97,0.0
20150219,oil prices crude inventories eia short covering rig count,negative,0.03,0.97,0.0
20150219,wheat futures soybeans corn prices demand global supply,positive,0.98,0.01,0.0
20150219,oil prices crude inventories us supply brent greece bailout,negative,0.02,0.98,0.0
20150219,oil prices us inventories crude futures brent greece bailout,negative,0.08,0.91,0.01
20150220,crude oil inventories opec greece prices,negative,0.06,0.94,0.0
20150220,gold greece bailout us rates manufacturing,negative,0.05,0.95,0.0
20150220,brent crude us rig count oil oversupply saudi arabia oil prices,negative,0.03,0.97,0.0
20150222,oil prices us rigs supply glut brent crude greece bailout,negative,0.02,0.98,0.0
20150222,gold greece bailout interest rates silver copper,negative,0.14,0.85,0.01
20150222,gold greece copper china euro zone,negative,0.05,0.95,0.0
20150222,wheat futures demand corn soybeans,positive,0.9,0.1,0.01
20150222,natural gas futures heating demand storage weather,negative,0.14,0.81,0.05
20150222,crude oil us inventories greece bailout opec market outlook,negative,0.03,0.97,0.0
20150223,crude oil inventories rig count brent greece bailout,negative,0.18,0.61,0.21
20150223,gold greece bailout federal reserve us dollar commodities,negative,0.13,0.87,0.0
20150223,gold futures home sales federal reserve greece bailout copper prices,negative,0.36,0.61,0.03
20150223,gold greece bailout federal reserve interest rates commodities,negative,0.12,0.86,0.02
20150223,gold prices greece bailout china markets us home sales federal reserve,negative,0.11,0.88,0.01
20150223,natural gas prices weather heating demand storage,negative,0.33,0.67,0.01
20150223,crude oil us supply brent greece bailout global glut,negative,0.07,0.93,0.0
20150223,oil prices oversupply refinery strike rig count crude inventories,negative,0.06,0.94,0.0
20150223,crude oil supply glut strong dollar brent us inventories,negative,0.01,0.99,0.0
20150223,shell crudebyrail environmental review oil train derailments washington,positive,0.99,0.0,0.0
20150223,wheat futures corn prices soybean market global supply demand,negative,0.09,0.9,0.01
20150224,copper greece federal reserve interest rates commodities,neutral,0.03,0.06,0.91
20150224,gold federal reserve interest rates us dollar greece bailout,negative,0.18,0.81,0.01
20150224,gold prices china pmi federal reserve copper greece bailout,negative,0.24,0.75,0.02
20150224,gold china federal reserve interest rates greece bailout,negative,0.13,0.86,0.01
20150224,natural gas prices supply demand weather,negative,0.1,0.9,0.0
20150224,crude oil us inventories distillates greece bailout oil rigs,negative,0.31,0.69,0.0
